REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
ISRAEL,PWR_NGCC,NaturalGas,1,2015,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2016,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2017,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2018,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2019,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2020,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2021,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2022,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2023,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2024,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2025,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2026,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2027,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2028,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2029,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2030,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2031,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2032,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2033,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2034,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2035,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2036,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2037,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2038,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2039,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2040,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2041,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2042,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2043,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2044,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2045,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2046,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2047,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2048,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2049,1.75
ISRAEL,PWR_NGCC,NaturalGas,1,2050,1.75
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2015,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2016,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2017,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2018,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2019,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2020,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2021,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2022,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2023,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2024,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2025,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2026,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2027,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2028,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2029,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2030,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2031,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2032,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2033,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2034,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2035,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2036,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2037,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2038,2.0
ISRAEL,PWR_NGCC_CCS,NaturalGas,1,2039,2.0
