SET,VALUE
REGION,ISRAEL
TECHNOLOGY,IMP_CrudeOil
TECHNOLOGY,IMP_NaturalGas
TECHNOLOGY,IMP_Coal
TECHNOLOGY,IMP_Hydrogen
TECHNOLOGY,IMP_SAF
TECHNOLOGY,IMP_Methanol
TECHNOLOGY,IMP_Ethanol
TECHNOLOGY,IMP_Ammonia
TECHNOLOGY,IMP_Biodiesel
TECHNOLOGY,IMP_SyntheticDiesel
TECHNOLOGY,MIN_NaturalGas_Domestic
TECHNOLOGY,PWR_NGCC
TECHNOLOGY,PWR_NGCC_CCS
TECHNOLOGY,PWR_OCGT
TECHNOLOGY,PWR_OCGT_CCS
TECHNOLOGY,PWR_NatGas_Steam
TECHNOLOGY,PWR_Coal
TECHNOLOGY,PWR_Solar_Utility
TECHNOLOGY,PWR_Solar_Rooftop_Res
TECHNOLOGY,PWR_Solar_Rooftop_Com
TECHNOLOGY,PWR_Wind_Onshore
TECHNOLOGY,PWR_CSP_Storage
TECHNOLOGY,PWR_WTE_Incinerator
TECHNOLOGY,PWR_WTE_Biodigester
TECHNOLOGY,PWR_Nuclear_SMR
TECHNOLOGY,PWR_Hydrogen_CCGT
TECHNOLOGY,STO_Battery
TECHNOLOGY,STO_Pumped_Hydro
TECHNOLOGY,TRN_Electricity
TECHNOLOGY,REF_Oil
TECHNOLOGY,REF_Biodiesel
TECHNOLOGY,REF_Ethanol
TECHNOLOGY,REF_SAF
TECHNOLOGY,REF_SyntheticDiesel
TECHNOLOGY,REF_Methanol
TECHNOLOGY,REF_Ammonia
TECHNOLOGY,H2_Electrolyzer_Green
TECHNOLOGY,H2_Blue_NatGas_CCS
TECHNOLOGY,DST_Diesel
TECHNOLOGY,DST_Gasoline
TECHNOLOGY,DST_LPG
TECHNOLOGY,DST_JetFuel
TECHNOLOGY,DST_Hydrogen
TECHNOLOGY,TRA_Car_Gasoline
TECHNOLOGY,TRA_Car_Diesel
TECHNOLOGY,TRA_Car_Hybrid
TECHNOLOGY,TRA_Car_BEV
TECHNOLOGY,TRA_Car_H2
TECHNOLOGY,TRA_Bus_Diesel
TECHNOLOGY,TRA_Bus_CNG
TECHNOLOGY,TRA_Bus_Electric
TECHNOLOGY,TRA_Bus_H2
TECHNOLOGY,TRA_LightRail_Electric
TECHNOLOGY,TRA_Metro_Electric
TECHNOLOGY,TRA_Rail_Passenger_Electric
TECHNOLOGY,TRA_Rail_Freight_Diesel
TECHNOLOGY,TRA_Truck_Diesel
TECHNOLOGY,TRA_Truck_Electric
TECHNOLOGY,TRA_Truck_H2
TECHNOLOGY,TRA_AgVehicle_Diesel
TECHNOLOGY,TRA_AgVehicle_Electric
TECHNOLOGY,TRA_HeavyEquip_Diesel
TECHNOLOGY,TRA_HeavyEquip_Electric
TECHNOLOGY,HC_HeatPump_AC_Electric
TECHNOLOGY,HC_GasBoiler
TECHNOLOGY,HC_SolarWaterHeater
TECHNOLOGY,HC_DistrictCooling
TECHNOLOGY,DMD_ElecResidential
TECHNOLOGY,DMD_ElecCommercial
TECHNOLOGY,DMD_ElecIndustrial
TECHNOLOGY,DMD_ElecWater
TECHNOLOGY,DMD_ElecAgriculture
TECHNOLOGY,DMD_TransportPrivate
TECHNOLOGY,DMD_TransportPublic
TECHNOLOGY,DMD_TransportFreight
TECHNOLOGY,DMD_TransportAgriculture
TECHNOLOGY,DMD_TransportHeavyEquip
TECHNOLOGY,DMD_HeatCoolResidential
TECHNOLOGY,DMD_HeatCoolCommercial
TECHNOLOGY,DMD_IndustrialHeat
FUEL,NaturalGas
FUEL,Coal
FUEL,CrudeOil
FUEL,SolarRadiation
FUEL,Wind
FUEL,Biomass
FUEL,Electricity
FUEL,Diesel
FUEL,Gasoline
FUEL,LPG
FUEL,JetFuel
FUEL,HeavyFuelOil
FUEL,SAF
FUEL,Methanol
FUEL,Ammonia
FUEL,SyntheticDiesel
FUEL,Biodiesel
FUEL,Ethanol
FUEL,Hydrogen
FUEL,ElecResidential
FUEL,ElecCommercial
FUEL,ElecIndustrial
FUEL,ElecWater
FUEL,ElecAgriculture
FUEL,TransportPrivate
FUEL,TransportPublic
FUEL,TransportFreight
FUEL,TransportAgriculture
FUEL,TransportHeavyEquip
FUEL,HeatCoolResidential
FUEL,HeatCoolCommercial
FUEL,IndustrialHeat
TIMESLICE,SUMMER_DAY
TIMESLICE,SUMMER_NIGHT
TIMESLICE,WINTER_DAY
TIMESLICE,WINTER_NIGHT
TIMESLICE,INTERMEDIATE_DAY
TIMESLICE,INTERMEDIATE_NIGHT
YEAR,2015
YEAR,2016
YEAR,2017
YEAR,2018
YEAR,2019
YEAR,2020
YEAR,2021
YEAR,2022
YEAR,2023
YEAR,2024
YEAR,2025
YEAR,2026
YEAR,2027
YEAR,2028
YEAR,2029
YEAR,2030
YEAR,2031
YEAR,2032
YEAR,2033
YEAR,2034
YEAR,2035
YEAR,2036
YEAR,2037
YEAR,2038
YEAR,2039
YEAR,2040
YEAR,2041
YEAR,2042
YEAR,2043
YEAR,2044
YEAR,2045
YEAR,2046
YEAR,2047
YEAR,2048
YEAR,2049
YEAR,2050
MODE_OF_OPERATION,1
EMISSION,CO2
EMISSION,NOx
EMISSION,SOx
EMISSION,PM25
